dep;jour;hosp;rea;dc;rad
1;19/03/2020;1;0;0;0
2;19/03/2020;38;8;10;15
3;19/03/2020;2;0;0;6
4;19/03/2020;1;0;0;1
5;19/03/2020;4;0;0;1
6;19/03/2020;12;4;0;4
7;19/03/2020;7;1;0;0
8;19/03/2020;1;1;0;0
9;19/03/2020;0;0;0;0
10;19/03/2020;6;1;0;0
11;19/03/2020;19;5;3;4
12;19/03/2020;4;0;1;1
13;19/03/2020;89;16;0;43
14;19/03/2020;3;0;0;1
15;19/03/2020;1;0;0;0
16;19/03/2020;1;0;0;2
17;19/03/2020;2;0;0;0
18;19/03/2020;0;0;0;0
19;19/03/2020;1;0;0;0
21;19/03/2020;26;11;2;24
22;19/03/2020;4;0;1;0
23;19/03/2020;0;0;0;0
24;19/03/2020;1;1;0;0
25;19/03/2020;12;11;2;5
26;19/03/2020;15;5;1;2
27;19/03/2020;1;0;1;0
28;19/03/2020;6;1;0;0
29;19/03/2020;11;0;0;3
2A;19/03/2020;59;11;1;9
2B;19/03/2020;1;0;0;1
30;19/03/2020;1;1;1;1
31;19/03/2020;8;3;1;4
32;19/03/2020;2;2;0;0
33;19/03/2020;14;3;1;6
34;19/03/2020;24;7;2;5
35;19/03/2020;25;7;0;16
36;19/03/2020;3;0;0;0
37;19/03/2020;2;2;0;0
38;19/03/2020;11;0;0;5
39;19/03/2020;1;0;0;0
40;19/03/2020;0;0;0;0
41;19/03/2020;3;0;0;1
42;19/03/2020;32;4;2;5
43;19/03/2020;1;1;0;0
44;19/03/2020;12;4;0;3
45;19/03/2020;12;3;0;2
46;19/03/2020;1;0;0;1
47;19/03/2020;0;0;0;0
48;19/03/2020;0;0;0;0
49;19/03/2020;13;3;0;5
50;19/03/2020;0;2;0;1
51;19/03/2020;25;2;1;11
52;19/03/2020;0;0;0;0
53;19/03/2020;3;2;0;1
54;19/03/2020;14;2;2;1
55;19/03/2020;38;4;0;5
56;19/03/2020;12;1;3;2
57;19/03/2020;36;15;4;5
58;19/03/2020;1;1;0;0
59;19/03/2020;72;13;3;24
60;19/03/2020;43;3;11;8
61;19/03/2020;2;1;0;2
62;19/03/2020;30;6;0;13
63;19/03/2020;1;1;0;2
64;19/03/2020;6;0;0;1
65;19/03/2020;2;1;0;0
66;19/03/2020;19;9;3;2
67;19/03/2020;161;30;8;28
68;19/03/2020;140;13;18;24
69;19/03/2020;244;28;17;46
70;19/03/2020;8;2;0;1
71;19/03/2020;18;3;2;5
72;19/03/2020;3;0;0;4
73;19/03/2020;9;2;0;4
74;19/03/2020;13;2;1;6
75;19/03/2020;167;41;11;31
76;19/03/2020;12;4;1;1
77;19/03/2020;45;15;1;9
78;19/03/2020;54;7;2;3
79;19/03/2020;4;1;0;1
80;19/03/2020;29;7;1;3
81;19/03/2020;2;1;0;0
82;19/03/2020;0;0;0;0
83;19/03/2020;10;4;2;8
84;19/03/2020;6;1;0;2
85;19/03/2020;9;2;0;5
86;19/03/2020;6;1;0;0
87;19/03/2020;4;1;0;0
88;19/03/2020;17;1;5;1
89;19/03/2020;2;2;2;0
90;19/03/2020;28;3;5;0
91;19/03/2020;49;14;1;4
92;19/03/2020;95;19;3;13
93;19/03/2020;103;30;9;16
94;19/03/2020;113;17;6;35
95;19/03/2020;80;8;4;15
971;19/03/2020;0;0;0;0
972;19/03/2020;1;0;0;0
973;19/03/2020;0;0;0;0
974;19/03/2020;0;0;0;0
976;19/03/2020;0;0;0;0
1;20/03/2020;0;0;0;1
2;20/03/2020;10;3;3;9
3;20/03/2020;4;0;0;3
4;20/03/2020;0;0;0;0
5;20/03/2020;2;0;0;0
6;20/03/2020;22;3;2;10
7;20/03/2020;7;0;1;3
8;20/03/2020;0;0;0;0
9;20/03/2020;1;0;0;0
10;20/03/2020;2;0;0;0
11;20/03/2020;10;2;2;1
12;20/03/2020;4;0;0;1
13;20/03/2020;44;5;0;7
14;20/03/2020;1;0;1;2
15;20/03/2020;1;0;0;0
16;20/03/2020;1;0;0;0
17;20/03/2020;2;1;0;0
18;20/03/2020;0;0;0;0
19;20/03/2020;0;0;0;0
21;20/03/2020;39;4;1;9
22;20/03/2020;1;0;0;0
23;20/03/2020;0;0;0;0
24;20/03/2020;1;1;0;1
25;20/03/2020;12;1;1;0
26;20/03/2020;3;2;1;0
27;20/03/2020;2;0;0;0
28;20/03/2020;1;0;0;0
29;20/03/2020;1;0;1;0
2A;20/03/2020;8;0;2;1
2B;20/03/2020;28;0;0;22
30;20/03/2020;4;0;0;0
31;20/03/2020;13;5;1;0
32;20/03/2020;0;0;0;0
33;20/03/2020;5;3;0;3
34;20/03/2020;15;6;1;1
35;20/03/2020;8;2;1;1
36;20/03/2020;1;1;0;0
37;20/03/2020;6;1;1;0
38;20/03/2020;8;0;0;5
39;20/03/2020;5;0;0;1
40;20/03/2020;0;0;0;0
41;20/03/2020;3;1;0;0
42;20/03/2020;13;4;1;1
43;20/03/2020;2;1;0;1
44;20/03/2020;5;3;0;1
45;20/03/2020;11;1;0;0
46;20/03/2020;0;0;0;0
47;20/03/2020;0;0;0;0
48;20/03/2020;0;0;0;0
49;20/03/2020;9;0;0;7
50;20/03/2020;6;2;0;0
51;20/03/2020;16;3;0;9
52;20/03/2020;13;0;3;5
53;20/03/2020;1;0;0;0
54;20/03/2020;9;1;1;0
55;20/03/2020;5;1;0;1
56;20/03/2020;6;0;0;2
57;20/03/2020;76;14;3;8
58;20/03/2020;0;0;0;0
59;20/03/2020;19;9;1;4
60;20/03/2020;11;6;1;4
61;20/03/2020;0;0;0;0
62;20/03/2020;25;9;1;6
63;20/03/2020;0;0;0;4
64;20/03/2020;1;0;1;1
65;20/03/2020;0;0;0;0
66;20/03/2020;7;6;1;0
67;20/03/2020;44;6;6;10
68;20/03/2020;92;19;13;30
69;20/03/2020;32;9;2;11
70;20/03/2020;8;1;0;2
71;20/03/2020;10;2;1;3
72;20/03/2020;0;0;0;0
73;20/03/2020;5;0;0;1
